ORIGEM	ÁREA	CURSO	 CH - CURSO	 PREÇO CURSO - MATRÍCULA	MÓDULO UNIDADE CURRICULAR	CH - MÓDULO	 PREÇO MÓDULO - MATRÍCULA	CAPACIDADE DESENVOLVIDA - MÓDULO
CT 60x40	Celulose e Papel	Gestão da Produção de Celulose e Papel	  40 		Gestão da Qualidade na Produção de Papel e Celulose	14	 R$  -   	●  Apresentar a importância da gestão da qualidade e do uso de suas ferramentas no processamento de papel e celulose 
CT 60x40	Celulose e Papel	Gestão da Produção de Celulose e Papel	  40 		Mecanismos de Controle na Produção e na Segurança dos Trabalhadores de Indústria de Celulose e Papel	13	 R$  -   	
CT 60x40	Celulose e Papel	Gestão da Produção de Celulose e Papel	  40 		Soluções na Administração de Materiais na Produção de Celulose e Papel	13	 R$  -   	
CT 60x40	Celulose e Papel	Planejamento e Controle dos Processos de Produção de Celulose e Papel	  40 		Gestão e Estrutura de PCP	14	 R$  -   	● Identificar necessidades, problemas ou oportunidades de melhorias em seu campo de trabalho. ● Demonstrar postura ética na tomada de decisões, responsabilizando-se pelos impactos gerados.
CT 60x40	Celulose e Papel	Planejamento e Controle dos Processos de Produção de Celulose e Papel	  40 		Planejamento de recursos na produção de celulose	13	 R$  -   	● Identificar os balanços de massa e energia, para o dimensionamento dos insumos, matéria-prima e utilidades para processo produtivo de celulose e papel
CT 60x40	Celulose e Papel	Planejamento e Controle dos Processos de Produção de Celulose e Papel	  40 		Planejamento e Controle de Produção de Celulose	13	 R$  -   	● Identificar a inter-relação entre as etapas dos processos de extração de celulose, recuperação química do licor e sistemas de utilidades,tendo em vistao acompanhamento do planejamento do processo de produção
CT 60x40	Celulose e Papel	Gestao Pessoas	  40 		Liderança e Equipes de Trabalho	14	 R$  -   	
CT 60x40	Celulose e Papel	Gestao Pessoas	  40 		Perfil Profissional de Lideranças e Profissionais da Indústria	13	 R$  -   	
CT 60x40	Celulose e Papel	Gestao Pessoas	  40 		Avaliação de Desempenho, Treinamento e Desenvolvimento de Pessoas	13	 R$  -   	
CT 60x40	Eletrônica	Planejamento, Qualidade e Prevenção de Acidentes	  15 		Planejamento, Qualidade e Prevenção de Acidentes	15	 R$  -   	●Aplicar ferramentas de controle para verificação da sequência dos processos das instalações eletroeletrônicas ● Identificar os critérios contidos nas diretrizes e instruções de trabalho pertinentes em cada instalação a ser realizada ● Avaliar o cumprimento dos requisitos relacionados à sustentabilidade conforme padrões estabelecidos pela política de meio ambiente da empresa ● Avaliar o atendimento dos requisitos técnicos de instalação conforme padrões estabelecidos pela política de gestão de qualidade da empresa ● Avaliar o cumprimento dos procedimentos de segurança e utilização dos equipamentos de proteção individuais e coletivos pelas equipes de trabalho na realização das atividades de instalação de sistemas eletroeletrônicos ● Estabelecer o tempo de execução de cada instalação eletroeletrônica para elaboração de cronograma do serviço ● Identificar oportunidades de racionalização de recursos tendo em vista as novas tecnologias utilizadas no processo de instalação eletroeletrônica ● Aplicar ferramentas de gerenciamento de projetos para acompanhamento dos recursos e das atividades de instalações de sistemas eletroeletrônicos ● Aplicar os fundamentos da qualidade e meio ambiente nas atividades de instalação e manutenção de sistemas eletroeletrônicos
